data_name,removed_label,n_pcs,method,adj_rand,accuracy,recall,precision,f1_score
PMBCs,2,70,SRNC,0.925796470885074,0.9712765957446808,0.9712765957446808,0.9744816660045014,0.9725263096026463
PMBCs,2,70,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,70,MARS,0.2961546345769276,0.5542553191489362,0.3660261650252993,0.38767158308471966,0.3608221856133743
PMBCs,2,80,SRNC,0.9321862494909041,0.9739361702127659,0.9739361702127659,0.9770472503989388,0.9752925212695323
PMBCs,2,80,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,80,MARS,0.2900413782354021,0.5063829787234042,0.2967575842829604,0.32912478123535516,0.2921564563281453
PMBCs,2,90,SRNC,0.9382812700665379,0.976063829787234,0.976063829787234,0.9796540626257596,0.9777302614320412
PMBCs,2,90,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,90,MARS,0.28626415089718954,0.5436170212765957,0.578676541080261,0.46330318950032806,0.4345215023568525
PMBCs,2,100,SRNC,0.9372347065074864,0.975,0.975,0.978101804843973,0.9763644534072827
PMBCs,2,100,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,100,MARS,0.2824806888463463,0.4723404255319149,0.3273809523809524,0.2974798675535977,0.2836710275318792
PMBCs,3,5,SRNC,0.679683706202243,0.8643552311435523,0.8643552311435523,0.8906787807419916,0.8676223395113857
PMBCs,3,5,Rejection,0.7860694764247624,0.8683090024330901,0.8683090024330901,0.9749203410030689,0.9171967168302906
PMBCs,3,5,MARS,0.1901412491095003,0.38838199513381993,0.29016784366204196,0.25594513856139517,0.2424953450003901
PMBCs,3,10,SRNC,0.7487333445583141,0.9014598540145985,0.9014598540145985,0.9067619287034995,0.9006247601032212
PMBCs,3,10,Rejection,0.9980665980525837,0.9984793187347932,0.9984793187347932,1.0,0.9992376425487425
PMBCs,3,10,MARS,0.1293505962406957,0.37195863746958635,0.34970046508812336,0.3119502267024271,0.2861588222733135
PMBCs,3,20,SRNC,0.7799730906756533,0.9124087591240876,0.9124087591240876,0.9210111676145073,0.9144560621274666
PMBCs,3,20,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,20,MARS,0.16855826152716077,0.39233576642335766,0.3517212725546059,0.30909783538940233,0.2847512734422183
PMBCs,3,30,SRNC,0.798693248416585,0.9236618004866181,0.9236618004866181,0.9267594514114628,0.9233444287583907
PMBCs,3,30,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,30,MARS,0.1587906351440485,0.41301703163017034,0.33296479510878246,0.26115694429266195,0.23907702728894878
PMBCs,3,40,SRNC,0.8103592577134792,0.9297445255474452,0.9297445255474452,0.9333740482074954,0.9299818793764403
PMBCs,3,40,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,40,MARS,0.10934386812942058,0.3278588807785888,0.29016253612772597,0.2320146993560099,0.21074800114250525
PMBCs,3,50,SRNC,0.8288047593656493,0.9367396593673966,0.9367396593673966,0.9410464365789163,0.9373749327882617
PMBCs,3,50,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,50,MARS,0.14513068749819408,0.3792579075425791,0.33226251547717794,0.26697115036407854,0.23681864819848125
PMBCs,3,60,SRNC,0.8284383761080508,0.9355231143552312,0.9355231143552312,0.9408159731129816,0.9367440917539431
PMBCs,3,60,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,60,MARS,0.1574816944154806,0.39233576642335766,0.4100991215574549,0.3531042640070996,0.31503274414482835
PMBCs,3,70,SRNC,0.8331325212369729,0.9391727493917275,0.9391727493917275,0.9429303016275881,0.9397938695603574
PMBCs,3,70,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,70,MARS,0.14308554435822357,0.36648418491484186,0.42011811490978157,0.36918161743947386,0.32102088467653084
PMBCs,3,80,SRNC,0.8372364805768225,0.9409975669099757,0.9409975669099757,0.9452642843967295,0.9417949674193064
PMBCs,3,80,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,80,MARS,0.1511909862898688,0.41332116788321166,0.424708316374983,0.36898247062491174,0.3401643533500065
PMBCs,3,90,SRNC,0.8442960180468817,0.943734793187348,0.943734793187348,0.9485425056978832,0.9448704912664091
PMBCs,3,90,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,90,MARS,0.13396190205375685,0.35523114355231145,0.3242122846289513,0.2949011851796135,0.26700605924196896
PMBCs,3,100,SRNC,0.8452325300425916,0.9443430656934306,0.9443430656934306,0.9479039337379411,0.9449387458973307
PMBCs,3,100,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,3,100,MARS,0.17500075905512663,0.4075425790754258,0.34674993216659883,0.3109499281547572,0.2881120675051898
PMBCs,4,5,SRNC,0.7015846067964469,0.8760869565217392,0.8760869565217392,0.8917198447787109,0.8781595768065907
PMBCs,4,5,Rejection,0.6610409327797396,0.8139751552795031,0.8139751552795031,0.9190368891849723,0.8616462490746976
PMBCs,4,5,MARS,0.10242687914519198,0.3903726708074534,0.3503709639126306,0.28188110460772675,0.26567983243437554
PMBCs,4,10,SRNC,0.7564669160464607,0.9074534161490683,0.9074534161490683,0.9116258788807634,0.9070661055263731
PMBCs,4,10,Rejection,0.9984102447522112,0.9987577639751553,0.9987577639751553,1.0,0.9993775646641154
PMBCs,4,10,MARS,0.17585200379669602,0.4229813664596273,0.4075706315289649,0.3130603131373934,0.2865269505710425
PMBCs,4,20,SRNC,0.7857551962373008,0.9164596273291925,0.9164596273291925,0.9242292655503387,0.9185723454261387
